PartitionKey,RowKey,Timestamp,City,City@type,Country,Country@type,Distance,Distance@type,Email,Email@type,Lat,Lat@type,Lon,Lon@type,Name,Name@type,Phone,Phone@type,Postalcode,Postalcode@type,Street,Street@type,Web,Web@type,Info,Info@type
','t Amsterdammertje_1df368c0-305e-473b-9d91-e5f3208ae701,2013-10-13T13:00:20.4386398Z,Loenen aan de Vecht,String,Nederland,String,0,Double,info@restaurantamsterdammertje.nl,String,52.209789,Double,5.02186,Double,'t Amsterdammertje,String,+31294234848,String,3632 AB ,String,Rijksstraatweg 119,String,http://www.restaurantamsterdammertje.nl/,String,,
','t Nonnetje_bb2eb96e-9ae5-4202-b267-ded30c664031,2013-10-13T14:24:14.3616011Z,Harderwijk,String,Nederland,String,0,Double,info@hetnonnetje.nl,String,52.35107,Double,5.6203,Double,'t Nonnetje,String,+31341415848,String,3841 BG ,String,Vischmarkt 38,String,http://www.hetnonnetje.nl,String,Michelin Ster,String
','t Schulten Hues_aa919ee5-cf95-4f53-ab21-de639d5b93e4,2013-10-13T11:18:37.7299928Z,Zutphen,String,Nederland,String,0,Double,info@schultenhues.nl,String,52.139278,Double,6.19471,Double,'t Schulten Hues,String,+31575510005,String,7201 DN ,String,'s Gravenhof 5-7,String,http://schultenhues.nl,String,Michelin Ster,String
A,Aan de poel_64e7323c-ed25-40f2-8f40-22b6c21f2d19,2013-10-13T11:18:42.4644662Z,Amstelveen,String,Nederland,String,0,Double,,,52.300686,Double,4.845718,Double,Aan de poel,String,+31203451763,String,1185 TS,String,Handweg 1,String,http://www.aandepoel.nl,String,Michelin Ster (2),String
A,Amarone_9b377ab4-fe25-476a-9073-f735df1cf07b,2013-10-13T13:35:24.9151555Z,Rotterdam ,String,Nederland,String,0,Double,info@restaurantamarone.nl,String,51.922455,Double,4.483218,Double,Amarone,String,+31104148487,String,3011 JN,String,Meent 72a,String,http://www.amarone-restaurant.nl/,String,,
A,Apicius_85c0cb88-06ba-4fd2-a06d-316233679196,2013-10-13T11:18:50.3692566Z,Bakkum,String,Nederland,String,0,Double,info@apicius.nl,String,52.558682,Double,4.65639,Double,Apicius,String,+31251676760,String,1901 KD,String,Van der Mijleweg 16,String,http://www.apicius.nl/,String,Michelin Ster,String
A,Aubergine_998bbf97-f4a3-45e8-8073-3cf9efc11627,2013-10-13T13:45:35.5551801Z,Steijl,String,Nederland,String,0,Double,info@restaurantaubergine.nl,String,51.33144,Double,6.12034,Double,Aubergine,String,+31773260390,String,5935 BJ   ,String,Maashoek 2a,String,http://www.restaurantaubergine.nl/,String,,
A,Avant-Garde van Groeninge_5832241f-5a68-4747-a528-67d1e382bcf7,2013-10-13T11:18:55.8058002Z,Eindhoven,String,Nederland,String,0,Double,info@restaurantavantgarde.nl,String,51.441132,Double,5.4664,Double,Avant-Garde van Groeninge,String,+31402505640,String,5616 NH ,String,Frederiklaan 10d,String,http://restaurantavantgarde.nl/,String,,
B,Basiliek_1cd3049d-049b-4e3b-bf55-9ef718439d68,2013-10-13T11:18:20.5992799Z,Harderwijk,String,Nederland,String,0,Double,info@restaurantbasiliek.nl ,String,52.351341,Double,5.62105,Double,Basiliek,String,+31341415290,String,3841 BE ,String,Vischmarkt 57a,String,http://www.restaurantbasiliek.nl/,String,,
B,Beluga_f85e443d-c9fe-4256-a890-8f6b31205c77,2013-10-13T11:19:01.8484044Z,Maastricht,String,Nederland,String,0,Double,info@rest-beluga.com ,String,50.846142,Double,5.69876,Double,Beluga,String,+31433213364,String,6221 JP,String,Plein 1992 12,String,http://www.rest-beluga.nl,String,Michelin Ster (2),String
B,Bij Jef_9fbafd90-c6d4-4c16-8af9-47baaf3e3647,2013-10-13T11:20:57.5799764Z,Den Hoorn ,String,Nederland,String,0,Double,info@bijjef.nl,String,53.024689,Double,4.74993,Double,Bij Jef,String,+31222319623,String,1797 AJ  ,String,Herenstraat 34,String,http://www.bijjef.nl,String,Michelin Ster,String
B,Blok's_e9f0158a-033d-4080-a627-3c782f2af014,2013-10-13T11:19:06.5668762Z,Amersfoort,String,Nederland,String,0,Double,info@bloksrestaurant.nl,String,52.156609,Double,5.38822,Double,Blok's,String,+31334610222,String,3811 CB,String,Krommestraat 49,String,http://www.bloksrestaurant.nl,String,,
B,Bord'eau_632bf510-dcb0-4729-89f2-89fa2d043476,2013-10-13T11:19:11.6343829Z,Amsterdam,String,Nederland,String,0,Double,bordeau@leurope.nl,String,52.36766,Double,4.89429,Double,Bord'eau,String,+31205311619,String,1012 CP,String,Nieuwe Doelenstraat 2-14,String,http://www.leurope.nl/bord-eau,String,,
B,Boreas_b84a44b7-fd11-413f-a2ba-43e8f5877292,2013-10-13T11:19:16.7228917Z,Heeze,String,Nederland,String,0,Double,info@restaurant-boreas.nl,String,51.379299,Double,5.57803,Double,Boreas,String,+31402263232,String,5591 HN,String,Jan Deckersstraat 7,String,http://www.restaurant-boreas.nl/,String,Michelin Ster (2),String
B,Bretelli_b018bcc4-72f5-4880-af6f-bd59c5519ffc,2013-10-13T13:59:22.2303881Z,Weert,String,Nederland,String,0,Double,contact@bretelli.nl,String,51.254379,Double,5.7071,Double,Bretelli,String,+31495452028,String,6001 EV ,String,Hoogstraat 8,String,http://bretelli.nl/,String,,
B,Brienen aan de Maas_c2e19d35-e6cd-42cf-b445-c9ded7b1c303,2013-10-13T14:01:01.8010972Z,Well ,String,Nederland,String,0,Double,Info@renebrienen.nl,String,51.548382,Double,6.09117,Double,Brienen aan de Maas,String,+31478501967,String,5855 AK ,String,Grotestraat 11,String,http://www.brienenaandemaas.nl/,String,,
C,Calla's_247e57c0-f6a7-4d5b-ae2f-4525e50fc368,2013-10-13T11:22:14.9397116Z,Den Haag,String,Nederland,String,0,Double,info@restaurantcallas.nl,String,52.086609,Double,4.31302,Double,Calla's,String,+31703455866,String,2514 BC  ,String,Laan van Roos en Doorn 51a,String,http://www.restaurantcallas.nl,String,,
C,Chapeau_73da2d99-2aae-4838-a205-88d6ae84a88e,2013-10-13T11:19:23.5685762Z,Bloemendaal,String,Nederland,String,0,Double,,,52.40601,Double,4.6232,Double,Chapeau,String,+31235252925,String,2061 HB,String,Hartenlustlaan 2,String,http://www.restaurantchapeau.nl/,String,Michelin Ster (2),String
C,Cheval Blanc_2e670aa2-ce31-4874-a929-5e2d8e59dc48,2013-10-13T11:25:21.6413799Z,Heemstede,String,Nederland,String,0,Double,info@cheval-blanc.nl ,String,52.360191,Double,4.62894,Double,Cheval Blanc,String,+31235293173,String,2102 CA ,String,Jan Van Goyenstraat 29,String,http://www.cheval-blanc.nl/,String,,
C,Château Neercanne_4308b24f-e20e-405a-a2e9-b668f11e3c88,2013-10-13T13:04:01.4827602Z,Maastricht,String,Nederland,String,0,Double,neercanne@chateauhotels.nl,String,50.818699,Double,5.66718,Double,Château Neercanne,String,+31433251359,String,6213 ND ,String,Cannerweg 800 ,String,http://www.chateauhotels.nl,String,,
C,Ciel bleu_e57c7f61-7959-4cad-8d24-1c199c4e859e,2013-10-13T11:19:28.3300523Z,Amsterdam,String,Nederland,String,0,Double,cielbleu@okura.nl,String,52.348801,Double,4.89363,Double,Ciel bleu,String,+31206787450,String,1072 LH,String,Ferdinand Bolstraat 333 ,String,http://www.cielbleu.nl/,String,Michelin Ster (2),String
C,Cordial_83e2b2ba-2df8-4a83-bdfb-a8c0d9b7f9ec,2013-10-13T13:23:30.5558671Z,Oss ,String,Nederland,String,0,Double,info@restaurantcordial.nl,String,51.769409,Double,5.52768,Double,Cordial,String,+31412694646,String,5341 KM ,String,Oostwal 175,String,http://www.restaurantcordial.nl/,String,,
D,Da vinci_5dc84d2d-0709-4226-80e1-bb2e39f086d9,2013-10-13T11:19:33.2485441Z,Maasbracht,String,Nederland,String,0,Double,info@restaurantdavinci.nl,String,51.145039,Double,5.88501,Double,Da vinci,String,+31475465979,String,6051 CS,String,Havenstraat 27,String,http://www.restaurantdavinci.nl/,String,Michelin Ster (2),String
